"id";"feedback";"template";"name";"label";"presentation";"typ";"hasvalue";"position";"required";"dependitem";"dependvalue";"options"
"1";"1";"0";"label";;"<p align=""center""><strong>SISTEMA DE GESTIÓN DE CALIDAD - ENCUESTA DE SATISFACCIÓN DEL PROFESORADO</strong></p>
<p align=""center""><img hspace=""0"" height=""120"" width=""660"" border=""0"" src=""http://www.fpmislata.com/logos/logo_completo_660x120.png"" alt=""CIPFP Mislata"" title=""CIPFP Mislata""></p>
<p align=""left""> </p><p align=""left"">  <table cellspacing=""1"" cellpadding=""1"" border=""1"" width=""900""><tbody>    <tr>      <td width=""50%"" valign=""top"" colspan=""2"">        <h6 align=""left""><font size=""3"" color=""#003366"">La encuesta es totalmente anónima y sus resultados se utilizarán únicamente con la intención de mejorar el centro.</font></h6>        <h6 align=""left""><font size=""3"" color=""#003366"">Si lo deseas puedes dejar cualquiera de las cuestiones sin contestar.</font></h6>        <h6 align=""left""><font size=""3"" color=""#003366"">Gracias por tu colaboración.</font></h6>      </td>    </tr>    <tr>      <td width=""50%"" valign=""top""><address><font size=""2""></font><font color=""#003366""> </font></address><address><font size=""2"" color=""#003366"">Debes responder con un único valor (de 0 a 10) a cada una de las siguientes cuestiones.</font></address>      </td>      <td width=""50%"" valign=""top"">        <blockquote style=""margin-right: 0px;"" dir=""ltr""><address><font size=""2""></font><font color=""#003366""> </font></address><address style=""font-style: italic;""><font size=""2"" color=""#003366"">0 - Nada de acuerdo</font></address><span style=""font-style: italic;"">...<br /></span><font size=""2"" color=""#003366"" style=""font-style: italic;"">10 - Totalmente de acuerdo</font></blockquote>      </td>    </tr></tbody>  </table></p><p align=""left""><font color=""#003366""> </font></p>";"label";"0";"1";"0";"0";;
"2";"1";"0";"DEPARTAMENT O FAMÍLIA PROFESSIONAL A LA QUE PERTANYS (resposta obligatòria)";;"d>>>>>1####ADMINISTRACIÓN DE EMPRESAS|2####COMERCIO Y MÁRKETING|3####FOL|4####IDIOMAS|5####INFORMÁTICA|6####ÓPTICA|7####ORIENTACIÓN|8####TURISMO|9####SANIDAD";"multichoicerated";"1";"2";"1";"0";;"h"
"3";"1";"0";"label";;"<p>   <table cellspacing=""1"" cellpadding=""1"" width=""900"" align=""left"" border=""1""><tbody>     <tr>       <td valign=""top"" width=""100%"">         <p align=""left""><strong><font color=""#003366"">GESTIÓ DIRECTIVA</font></strong></p>         <p align=""left""><font color=""#003366"" size=""2""><em>Quin és el teu grau de satisfacció respecte a les següents qüestions?</em></font></p>       </td>     </tr></tbody>   </table></p>";"label";"0";"3";"0";"0";;
"4";"1";"0";"1. La gestió del centre i la implicació de l'equip directiu en la millora del centre";;"r>>>>>0
|1
|2
|3
|4
|5
|6
|7
|8
|9
|10<<<<<1";"multichoice";"1";"4";"0";"0";;
"5";"1";"0";"2. La capacitat de l'equip directiu per a implicar al personal docent en la millora del centre";;"r>>>>>0
|1
|2
|3
|4
|5
|6
|7
|8
|9
|10<<<<<1";"multichoice";"1";"5";"0";"0";;
"6";"1";"0";"3. La facilitat per a comunicar-te amb l'equip directiu";;"r>>>>>0
|1
|2
|3
|4
|5
|6
|7
|8
|9
|10<<<<<1";"multichoice";"1";"6";"0";"0";;
"7";"1";"0";"label";;"<p>   <table cellspacing=""1"" cellpadding=""1"" width=""900"" align=""left"" border=""1""><tbody>     <tr>       <td valign=""top"" width=""100%"">         <p align=""left""><strong><font color=""#003366"">ORGANITZACIÓ DEL CENTRE</font></strong></p>         <p align=""left""><font color=""#003366"" size=""2""><em>Quin és el teu grau de satisfacció respecte a les següents qüestions?</em></font></p>       </td>     </tr></tbody>   </table></p>";"label";"0";"7";"0";"0";;
"8";"1";"0";"4. (En cas de haber fet desiderata). L' horari s'adjusta a la teua desiderata";;"r>>>>>0
|1
|2
|3
|4
|5
|6
|7
|8
|9
|10<<<<<1";"multichoice";"1";"8";"0";"0";;
"9";"1";"0";"5. La agupació horaria dels moduls és adecuada";;"r>>>>>0
|1
|2
|3
|4
|5
|6
|7
|8
|9
|10<<<<<1";"multichoice";"1";"9";"0";"0";;
"10";"1";"0";"label";;"<p>   <table cellspacing=""1"" cellpadding=""1"" width=""900"" align=""left"" border=""1""><tbody>     <tr>       <td valign=""top"" width=""100%"">         <p align=""left""><strong><font color=""#003366"">PROJECTE EDUCATIU I PROGRAMACIÓ ANUAL</font></strong></p>         <p align=""left""><font color=""#003366"" size=""2""><em>Quina és la teua percepció respecte a ... ?</em></font></p>       </td>     </tr></tbody>   </table></p>";"label";"0";"10";"0";"0";;
