"id";"course_id";"item";"completed";"tmp_completed";"value"
"1";"1";"485";"1";"0";"3"
"2";"1";"486";"1";"0";"1"
"3";"1";"488";"1";"0";"8"
"4";"1";"490";"1";"0";"9"
"5";"1";"493";"1";"0";"8"
"6";"1";"501";"1";"0";"9"
"7";"1";"502";"1";"0";"9"
"8";"1";"504";"1";"0";"8"
"9";"1";"506";"1";"0";"9"
"10";"1";"507";"1";"0";"9"
"11";"1";"509";"1";"0";"8"
"12";"1";"511";"1";"0";"7"
"13";"1";"513";"1";"0";"11"
"14";"1";"514";"1";"0";"11"
"15";"1";"515";"1";"0";"8"
"16";"1";"517";"1";"0";"7"
"17";"1";"518";"1";"0";"8"
"18";"1";"519";"1";"0";"10"
"19";"1";"528";"1";"0";"1"
"20";"1";"529";"1";"0";"3"
"21";"1";"530";"1";"0";"1"
"22";"1";"531";"1";"0";"1"
"23";"1";"533";"1";"0";
"24";"1";"485";"2";"0";"1"
"25";"1";"486";"2";"0";"1"
"26";"1";"488";"2";"0";"11"
"27";"1";"490";"2";"0";"10"
"28";"1";"493";"2";"0";"10"
"29";"1";"501";"2";"0";"9"
"30";"1";"502";"2";"0";"9"
"31";"1";"504";"2";"0";"9"
"32";"1";"506";"2";"0";"9"
"33";"1";"507";"2";"0";"9"
"34";"1";"509";"2";"0";"11"
"35";"1";"511";"2";"0";"9"
"36";"1";"513";"2";"0";"8"
"37";"1";"514";"2";"0";"8"
"38";"1";"515";"2";"0";"9"
"39";"1";"517";"2";"0";
"40";"1";"518";"2";"0";"9"
"41";"1";"519";"2";"0";"9"
"42";"1";"528";"2";"0";"1"
"43";"1";"529";"2";"0";"4|5"
"44";"1";"530";"2";"0";"3"
"45";"1";"531";"2";"0";"2"
"46";"1";"533";"2";"0";
"47";"1";"485";"3";"0";"4"
"48";"1";"486";"3";"0";"2"
"49";"1";"488";"3";"0";"9"
"50";"1";"490";"3";"0";"11"
"51";"1";"493";"3";"0";"10"
"52";"1";"501";"3";"0";"11"
"53";"1";"502";"3";"0";"11"
"54";"1";"504";"3";"0";"6"
"55";"1";"506";"3";"0";"8"
"56";"1";"507";"3";"0";"11"
"57";"1";"509";"3";"0";"11"
"58";"1";"511";"3";"0";"6"
"59";"1";"513";"3";"0";"10"
"60";"1";"514";"3";"0";"10"
"61";"1";"515";"3";"0";"10"
"62";"1";"517";"3";"0";"6"
"63";"1";"518";"3";"0";"11"
"64";"1";"519";"3";"0";"11"
"65";"1";"528";"3";"0";"1"
"66";"1";"529";"3";"0";"2"
"67";"1";"530";"3";"0";"4"
"68";"1";"531";"3";"0";"2"
"69";"1";"533";"3";"0";
"70";"1";"485";"4";"0";"2"
"71";"1";"486";"4";"0";"2"
"72";"1";"488";"4";"0";"9"
"73";"1";"490";"4";"0";"8"
"74";"1";"493";"4";"0";"9"
"75";"1";"501";"4";"0";"11"
"76";"1";"502";"4";"0";"8"
"77";"1";"504";"4";"0";"10"
"78";"1";"506";"4";"0";"9"
"79";"1";"507";"4";"0";"10"
"80";"1";"509";"4";"0";"10"
"81";"1";"511";"4";"0";"5"
"82";"1";"513";"4";"0";
"83";"1";"514";"4";"0";"9"
"84";"1";"515";"4";"0";"9"
"85";"1";"517";"4";"0";"8"
"86";"1";"518";"4";"0";"10"
"87";"1";"519";"4";"0";"11"
"88";"1";"528";"4";"0";"1"
"89";"1";"529";"4";"0";"5"
"90";"1";"530";"4";"0";"1"
"91";"1";"531";"4";"0";"1"
"92";"1";"533";"4";"0";
"93";"1";"485";"5";"0";"4"
"94";"1";"486";"5";"0";"2"
"95";"1";"488";"5";"0";"10"
"96";"1";"490";"5";"0";"9"
"97";"1";"493";"5";"0";"9"
"98";"1";"501";"5";"0";"10"
"99";"1";"502";"5";"0";"10"
"100";"1";"504";"5";"0";"11"
"101";"1";"506";"5";"0";"10"
"102";"1";"507";"5";"0";"10"
"103";"1";"509";"5";"0";"9"
"104";"1";"511";"5";"0";
"105";"1";"513";"5";"0";"11"
"106";"1";"514";"5";"0";"11"
"107";"1";"515";"5";"0";"10"
"108";"1";"517";"5";"0";"8"
"109";"1";"518";"5";"0";"10"
"110";"1";"519";"5";"0";"9"
"111";"1";"528";"5";"0";"1"
"112";"1";"529";"5";"0";"3|4"
"113";"1";"530";"5";"0";"4"
"114";"1";"531";"5";"0";"1|2"
