"id";"feedback";"userid";"timemodified";"random_response";"anonymous_response";"courseid"
"1";"7";"0";"1702284479";"1";"1";"1"
"2";"7";"0";"1702290392";"2";"1";"1"
"3";"7";"0";"1702297859";"4";"1";"1"
"4";"7";"0";"1702298958";"3";"1";"1"
"5";"7";"0";"1702368893";"0";"1";"1"
"6";"7";"0";"1702368907";"0";"1";"1"
"7";"7";"0";"1702369004";"0";"1";"1"
"8";"7";"0";"1702369041";"0";"1";"1"
"9";"7";"0";"1702369052";"0";"1";"1"
"10";"7";"0";"1702369207";"0";"1";"1"
"11";"7";"0";"1702369231";"0";"1";"1"
"12";"7";"0";"1702369241";"0";"1";"1"
"13";"7";"0";"1702369284";"0";"1";"1"
"14";"7";"0";"1702369297";"0";"1";"1"
"15";"7";"0";"1702369334";"0";"1";"1"
"16";"7";"0";"1702369391";"0";"1";"1"
"17";"7";"0";"1702369571";"0";"1";"1"
"18";"7";"0";"1702369613";"0";"1";"1"
"19";"7";"0";"1702369618";"0";"1";"1"
"20";"7";"0";"1702369660";"0";"1";"1"
"21";"7";"0";"1702369779";"0";"1";"1"
"22";"7";"0";"1702369784";"0";"1";"1"
"23";"7";"0";"1702369793";"0";"1";"1"
"24";"7";"0";"1702369794";"0";"1";"1"
"25";"7";"0";"1702369805";"0";"1";"1"
"26";"7";"0";"1702370012";"0";"1";"1"
"27";"7";"0";"1702370049";"0";"1";"1"
"28";"7";"0";"1702370158";"0";"1";"1"
"29";"7";"0";"1702370159";"0";"1";"1"
"30";"7";"0";"1702370193";"0";"1";"1"
"31";"7";"0";"1702370245";"0";"1";"1"
"32";"7";"0";"1702370282";"0";"1";"1"
"33";"7";"0";"1702372435";"0";"1";"1"
"34";"7";"0";"1702372457";"0";"1";"1"
"35";"7";"0";"1702372565";"0";"1";"1"
"36";"7";"0";"1702372613";"0";"1";"1"
"37";"7";"0";"1702372654";"0";"1";"1"
"38";"7";"0";"1702372659";"0";"1";"1"
"39";"7";"0";"1702372740";"0";"1";"1"
"40";"7";"0";"1702372770";"0";"1";"1"
"41";"7";"0";"1702372783";"0";"1";"1"
"42";"7";"0";"1702372791";"0";"1";"1"
"43";"7";"0";"1702372810";"0";"1";"1"
"44";"7";"0";"1702372891";"0";"1";"1"
"45";"7";"0";"1702372957";"0";"1";"1"
"46";"7";"0";"1702372959";"0";"1";"1"
"47";"7";"0";"1702372969";"0";"1";"1"
"48";"7";"0";"1702372984";"0";"1";"1"
"49";"7";"0";"1702372985";"0";"1";"1"
"50";"7";"0";"1702373043";"0";"1";"1"
"51";"7";"0";"1702377661";"0";"1";"1"
"52";"7";"0";"1702377699";"0";"1";"1"
"53";"7";"0";"1702377880";"0";"1";"1"
"54";"7";"0";"1702377925";"0";"1";"1"
"55";"7";"0";"1702377937";"0";"1";"1"
"56";"7";"0";"1702377967";"0";"1";"1"
"57";"7";"0";"1702377973";"0";"1";"1"
"58";"7";"0";"1702377998";"0";"1";"1"
"59";"7";"0";"1702378006";"0";"1";"1"
"60";"7";"0";"1702378032";"0";"1";"1"
"61";"7";"0";"1702378065";"0";"1";"1"
"62";"7";"0";"1702378070";"0";"1";"1"
"63";"7";"0";"1702378088";"0";"1";"1"
"64";"7";"0";"1702378113";"0";"1";"1"
"65";"7";"0";"1702378142";"0";"1";"1"
"66";"7";"0";"1702378142";"0";"1";"1"
"67";"7";"0";"1702378165";"0";"1";"1"
"68";"7";"0";"1702378180";"0";"1";"1"
"69";"7";"0";"1702378189";"0";"1";"1"
"70";"7";"0";"1702378203";"0";"1";"1"
"71";"7";"0";"1702378454";"0";"1";"1"
"72";"7";"0";"1702378577";"0";"1";"1"
"73";"7";"0";"1702378611";"0";"1";"1"
"74";"7";"0";"1702378646";"0";"1";"1"
"75";"7";"0";"1702378662";"0";"1";"1"
"76";"7";"0";"1702378693";"0";"1";"1"
"77";"7";"0";"1702378700";"0";"1";"1"
"78";"7";"0";"1702378720";"0";"1";"1"
"79";"7";"0";"1702378721";"0";"1";"1"
"80";"7";"0";"1702378927";"0";"1";"1"
"81";"7";"0";"1702378972";"0";"1";"1"
"82";"7";"0";"1702379035";"0";"1";"1"
"83";"7";"0";"1702379041";"0";"1";"1"
"84";"7";"0";"1702379087";"0";"1";"1"
"85";"7";"0";"1702379213";"0";"1";"1"
"86";"7";"0";"1702379447";"0";"1";"1"
"87";"7";"0";"1702380883";"0";"1";"1"
"88";"7";"0";"1702381976";"0";"1";"1"
"89";"7";"0";"1702381987";"0";"1";"1"
"90";"7";"0";"1702381987";"0";"1";"1"
"91";"7";"0";"1702382025";"0";"1";"1"
"92";"7";"0";"1702382053";"0";"1";"1"
"93";"7";"0";"1702382136";"0";"1";"1"
"94";"7";"0";"1702382166";"0";"1";"1"
"95";"7";"0";"1702382211";"0";"1";"1"
"96";"7";"0";"1702382232";"0";"1";"1"
"97";"7";"0";"1702382269";"0";"1";"1"
"98";"7";"0";"1702382286";"0";"1";"1"
"99";"7";"0";"1702382306";"0";"1";"1"
"100";"7";"0";"1702382435";"0";"1";"1"
"101";"7";"0";"1702383996";"0";"1";"1"
"102";"7";"0";"1702384092";"0";"1";"1"
"103";"7";"0";"1702384261";"0";"1";"1"
"104";"7";"0";"1702384275";"0";"1";"1"
"105";"7";"0";"1702384285";"0";"1";"1"
"106";"7";"0";"1702384298";"0";"1";"1"
"107";"7";"0";"1702384326";"0";"1";"1"
"108";"7";"0";"1702384327";"0";"1";"1"
"109";"7";"0";"1702384345";"0";"1";"1"
"110";"7";"0";"1702384362";"0";"1";"1"
"111";"7";"0";"1702384389";"0";"1";"1"
"112";"7";"0";"1702384394";"0";"1";"1"
"113";"7";"0";"1702384405";"0";"1";"1"
"114";"7";"0";"1702384427";"0";"1";"1"
"115";"7";"0";"1702384464";"0";"1";"1"
"116";"7";"0";"1702384488";"0";"1";"1"
"117";"7";"0";"1702384508";"0";"1";"1"
"118";"7";"0";"1702384595";"0";"1";"1"
"119";"7";"0";"1702384666";"0";"1";"1"
"120";"7";"0";"1702384702";"0";"1";"1"
"121";"7";"0";"1702384706";"0";"1";"1"
"122";"7";"0";"1702392585";"0";"1";"1"
"123";"7";"0";"1702393461";"0";"1";"1"
"124";"7";"0";"1702393556";"0";"1";"1"
"125";"7";"0";"1702393601";"0";"1";"1"
"126";"7";"0";"1702393605";"0";"1";"1"
"127";"7";"0";"1702393625";"0";"1";"1"
"128";"7";"0";"1702393643";"0";"1";"1"
"129";"7";"0";"1702393667";"0";"1";"1"
"130";"7";"0";"1702393705";"0";"1";"1"
"131";"7";"0";"1702393734";"0";"1";"1"
"132";"7";"0";"1702393741";"0";"1";"1"
"133";"7";"0";"1702393771";"0";"1";"1"
"134";"7";"0";"1702393802";"0";"1";"1"
"135";"7";"0";"1702393821";"0";"1";"1"
